StationCode,New_Lat,New_Long,AG_1k_01,AG_1k_06,AG_1k_11,AG_1k_16,AG_5k_01,AG_5k_06,AG_5k_11,AG_5k_16,AG_WS_01,AG_WS_06,AG_WS_11,AG_WS_16,AGUR_1k_01,AGUR_1k_06,AGUR_1k_11,AGUR_1k_16,AGUR_5k_01,AGUR_5k_06,AGUR_5k_11,AGUR_5k_16,AGUR_WS_01,AGUR_WS_06,AGUR_WS_11,AGUR_WS_16,CD21_1k_01,CD21_1k_06,CD21_1k_11,CD21_1k_16,CD21_5k_01,CD21_5k_06,CD21_5k_11,CD21_5k_16,CD21_WS_01,CD21_WS_06,CD21_WS_11,CD21_WS_16,CNL_PI_PCT,MINES,NRST_DAM,PVD_INT_1k,PVD_INT_5k,PVD_INT_WS,RDRRDEN_1k,RDRRDEN_5k,RDRRDEN_WS,UR_1k_01,UR_1k_06,UR_1k_11,UR_1k_16,UR_5k_01,UR_5k_06,UR_5k_11,UR_5k_16,UR_WS_01,UR_WS_06,UR_WS_11,UR_WS_16
205GUA260,37.22229,-121.85049,0.915492958,0.915492958,0.915492958,0.915492958,0.392945262,0.392945262,0.392945262,0.392945262,0.395858709,0.387158517,0.37410823,0.37410823,54.57746479,54.57746479,54.85915493,54.92957746,29.29726766,29.37494289,29.42520333,29.55770812,8.03136419,8.041151905,8.042239429,8.075952671,29.43661972,29.43661972,29.15492958,29.08450704,17.99323769,17.92013159,17.86987115,17.97496116,7.197233339,7.179832956,7.165695145,7.189620672,8.727636317,0,6.71750326,1,60,112,8.106128351,4.85421269,2.234000202,53.66197183,53.66197183,53.94366197,54.01408451,28.9043224,28.98199762,29.03225806,29.16476286,7.635505481,7.653993388,7.668131199,7.701844441
205GUA270,37.20252,-121.8297,0.393700787,0.393700787,0.393700787,0.393700787,0.109375949,0.109375949,0.109375949,0.109375949,0.039509208,0.039509208,0.039509208,0.039509208,51.57480315,51.67322835,51.67322835,51.96850394,5.341192198,5.371574406,5.371574406,5.414109497,1.942536052,1.953510832,1.953510832,1.968875524,38.09055118,37.99212598,37.99212598,37.69685039,9.430637419,9.400255211,9.400255211,9.357720119,4.187976031,4.177001251,4.177001251,4.161636559,11.32557275,1,4.20706273,2,33,37,7.98805428,2.639404919,1.531058393,51.18110236,51.27952756,51.27952756,51.57480315,5.231816248,5.262198457,5.262198457,5.304733548,1.903026844,1.914001624,1.914001624,1.929366316
205GUA280,37.1734,-121.82478,0,0,0,0,0,0,0,0,0,0,0,0,0.387168142,0.387168142,0.387168142,0.387168142,0.159744409,0.159744409,0.159744409,0.159744409,0.112365563,0.112365563,0.112365563,0.112365563,7.245575221,7.245575221,7.245575221,7.245575221,1.912836897,1.912836897,1.912836897,1.912836897,2.019904757,2.019904757,2.019904757,2.019904757,3.691856745,1,0.98297059,5,11,11,2.572017327,1.020083859,1.184051255,0.387168142,0.387168142,0.387168142,0.387168142,0.159744409,0.159744409,0.159744409,0.159744409,0.112365563,0.112365563,0.112365563,0.112365563
205GUA300,37.16189,-121.84434,0,0,0,0,0,0,0,0,0,0,0,0,0.290979631,0.290979631,0.290979631,0.290979631,0.223824919,0.223824919,0.223824919,0.223824919,0.223824919,0.223824919,0.223824919,0.223824919,4.364694471,4.364694471,4.364694471,4.364694471,4.053717981,4.053717981,4.053717981,4.053717981,4.053717981,4.053717981,4.053717981,4.053717981,0,0,-9999,1,1,1,1.160877102,1.648409659,1.648409659,0.290979631,0.290979631,0.290979631,0.290979631,0.223824919,0.223824919,0.223824919,0.223824919,0.223824919,0.223824919,0.223824919,0.223824919
205GUA330,37.21072,-121.82637,2.518518519,2.518518519,2.518518519,2.518518519,0.247494869,0.247494869,0.247494869,0.247494869,0.911096467,0.888175802,0.853794803,0.853794803,19.85185185,19.92592593,19.92592593,20.2962963,7.793070144,7.817215985,7.853434746,7.925872269,4.879236742,4.867776409,4.85058591,4.887831992,22.44444444,22.37037037,22.37037037,22.81481481,11.40287336,11.37872751,11.34250875,11.59000362,7.698478641,7.687018308,7.669827809,7.784431138,9.874159094,2,4.33380865,3,19,23,3.276146883,2.49602063,1.713090438,17.33333333,17.40740741,17.40740741,17.77777778,7.545575275,7.569721116,7.605939877,7.678377399,3.968140274,3.979600607,3.996791107,4.034037189
205LGA700,37.119517,-121.902741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008225037,0.008225037,0.008225037,0.008225037,0,0,0,0,1.903497123,1.903497123,1.903497123,1.903497123,2.311235401,2.311235401,2.311235401,2.311235401,0,0,-9999,0,0,2,1.245059255,0.763359163,1.08394388,0,0,0,0,0,0,0,0,0.008225037,0.008225037,0.008225037,0.008225037
205LGAxxx,37.16769,-121.97942,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0.133333333,0.133333333,0.133333333,0.257831636,0.26212883,0.270723218,0.270723218,0.202506012,0.206122191,0.211546459,0.211546459,35.06666667,35.06666667,35.06666667,35.06666667,12.59077822,12.58648103,12.57788664,12.67242491,7.698844631,7.695228452,7.689804184,7.729582151,0,0,5.90769188,0,5,11,10.25575285,4.722895577,3.21538827,0.133333333,0.133333333,0.133333333,0.133333333,0.257831636,0.26212883,0.270723218,0.270723218,0.202506012,0.206122191,0.211546459,0.211546459
205LGBxxx,37.21334,-121.98654,0,0,0,0,0.002394579,0.002394579,0.002394579,0.002394579,0.000879438,0.000879438,0.000879438,0.000879438,2.397260274,2.397260274,2.397260274,2.397260274,1.290677905,1.3361749,1.357726108,1.357726108,0.578670114,0.597138309,0.607691564,0.607691564,3.767123288,3.767123288,3.767123288,3.767123288,5.809247863,5.770934604,5.751777975,5.751777975,6.501684124,6.485854242,6.476180425,6.504322437,0,2,1.2772139,0,28,44,3.953634581,3.474191285,3.24126689,2.397260274,2.397260274,2.397260274,2.397260274,1.288283327,1.333780321,1.355331529,1.355331529,0.577790676,0.596258871,0.606812126,0.606812126
205LGCxxx,37.30676,-121.91382,0.143266476,0.143266476,0.143266476,0.143266476,0.681414181,0.681414181,0.681414181,0.681414181,0.066640231,0.066640231,0.066640231,0.066640231,91.40401146,91.40401146,91.40401146,91.40401146,94.82520245,94.85482915,95.05234051,95.07209165,21.69222127,21.7456436,21.78750028,21.83045844,8.166189112,8.166189112,8.166189112,8.166189112,4.414378827,4.384752123,4.187240766,4.167489631,12.94197343,12.89130483,12.8499989,12.84008548,0,0,13.4273294,0,36,230,13.96820846,14.90510687,5.856915051,91.26074499,91.26074499,91.26074499,91.26074499,94.14378827,94.17341497,94.37092633,94.39067746,21.62558104,21.67900337,21.72086004,21.76381821
205LGU070,37.528133,-121.939183,0,0,0,0,0,0,0,0,0,0,0,0,38.41698842,38.41698842,38.41698842,39.38223938,36.83214135,37.02145562,37.5893984,37.98906184,36.83214135,37.02145562,37.5893984,37.98906184,44.78764479,44.78764479,44.78764479,43.82239382,15.3344552,15.14514093,15.64997897,15.86032814,15.3344552,15.14514093,15.64997897,15.86032814,7.48926948,2,2.71248215,1,29,29,6.535903216,6.790083216,6.790083216,38.41698842,38.41698842,38.41698842,39.38223938,36.83214135,37.02145562,37.5893984,37.98906184,36.83214135,37.02145562,37.5893984,37.98906184
205LGU080,37.527893,-121.939217,0,0,0,0,0,0,0,0,0,0,0,0,71.42857143,71.42857143,71.42857143,71.42857143,37.31758165,37.52605976,38.15149409,38.47579338,37.31758165,37.52605976,38.15149409,38.47579338,28.57142857,28.57142857,28.57142857,28.57142857,12.02223767,11.81375956,12.36970118,12.7171647,12.02223767,11.81375956,12.36970118,12.7171647,0.601100803,1,2.70637938,0,28,28,9.303145165,6.860675634,6.860675634,71.42857143,71.42857143,71.42857143,71.42857143,37.31758165,37.52605976,38.15149409,38.47579338,37.31758165,37.52605976,38.15149409,38.47579338
